customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00015,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,62.39,2242.22,No
CUST-00016,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.84,2517.78,No
CUST-00017,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,82.24,Yes
CUST-00018,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.43,635.53,Yes
CUST-00019,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,71.45,912.03,No
CUST-00020,Female,1,Yes,No,7,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,54.11,391.5,Yes
CUST-00021,Male,0,Yes,No,23,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),49.4,1140.38,No
CUST-00022,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.89,859.0,No
CUST-00023,Female,1,Yes,No,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,80.94,3857.14,No
CUST-00024,Female,0,No,No,62,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,71.77,4441.06,No
CUST-00025,Female,0,No,No,25,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),47.02,1196.26,No
CUST-00026,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,50.36,443.6,No
CUST-00027,Female,0,No,Yes,57,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),56.57,3221.4,No
CUST-00028,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),69.1,872.63,No
CUST-00029,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.86,5071.95,No
CUST-00030,Male,0,Yes,Yes,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,48.82,3410.41,No
CUST-00031,Male,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.67,747.0,No
CUST-00032,Female,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,66.12,1955.35,Yes
CUST-00033,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),66.37,3281.48,No
CUST-00034,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.09,1106.69,No
CUST-00035,Male,0,No,Yes,71,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,55.88,3926.48,Yes
CUST-00036,Female,1,Yes,No,50,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,42.56,2121.63,No
CUST-00037,Male,0,No,Yes,14,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,69.24,986.22,Yes
CUST-00038,Male,1,Yes,Yes,37,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),53.95,1995.37,Yes
CUST-00039,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,77.11,5418.58,No
CUST-00040,Male,0,No,Yes,71,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),61.53,4393.59,Yes
CUST-00041,Male,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,320.94,No
CUST-00042,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,72.13,1063.14,No
CUST-00043,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),79.39,5252.53,Yes
CUST-00044,Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.6,1795.05,No
CUST-00045,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,73.25,903.02,No
CUST-00046,Female,1,No,Yes,63,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,45.72,2911.02,No
CUST-00047,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,77.17,4630.71,Yes
CUST-00048,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,46.61,1430.72,Yes
CUST-00049,Female,0,No,Yes,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.6,733.83,Yes
CUST-00050,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,71.31,2841.72,Yes
CUST-00051,Female,0,Yes,Yes,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,63.48,4097.21,No
CUST-00052,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Mailed check,39.71,317.8,No
CUST-00053,Female,1,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Electronic check,73.8,4270.09,No
CUST-00054,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),48.23,1188.62,No
CUST-00055,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,65.18,236.07,No
CUST-00056,Female,0,Yes,Yes,44,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,41.05,1805.65,Yes
CUST-00057,Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.49,25.56,No
CUST-00058,Male,0,No,No,41,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),54.42,2279.15,No
CUST-00059,Male,0,Yes,No,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.88,941.18,Yes
CUST-00060,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.28,113.5,Yes
CUST-00061,Male,0,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,47.08,2165.65,No
CUST-00062,Male,0,No,No,21,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,58.85,1276.4,No
CUST-00063,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.38,2462.17,Yes
CUST-00064,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),28.2,851.57,No
CUST-00065,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.72,403.49,No
CUST-00066,Female,0,No,No,55,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),67.38,3713.85,No
CUST-00067,Male,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),77.56,164.76,No
CUST-00068,Female,1,Yes,No,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.96,3067.03,No
CUST-00069,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.48,2605.49,No
CUST-00070,Female,0,No,Yes,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.78,2054.76,No
CUST-00071,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.41,554.39,No
CUST-00072,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.75,1639.95,No
CUST-00073,Female,1,No,No,15,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.59,750.08,No
CUST-00074,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,67.54,1037.21,No
CUST-00075,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),37.01,17.06,No
CUST-00076,Female,1,Yes,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.71,1768.34,No
CUST-00077,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.41,1490.7,No
CUST-00078,Male,0,Yes,No,65,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,47.38,3097.91,No
CUST-00079,Female,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),34.89,1275.58,No
CUST-00080,Male,1,Yes,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,461.3,No
CUST-00081,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,63.59,3845.29,No
CUST-00082,Male,1,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,74.48,1469.5,Yes
CUST-00083,Female,0,Yes,Yes,36,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,35.92,1284.74,Yes
CUST-00084,Male,0,No,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),71.84,2427.33,No
CUST-00085,Male,1,Yes,No,37,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,49.26,1795.41,No
CUST-00086,Female,0,Yes,No,52,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.95,2944.1,No
CUST-00087,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,74.09,1025.29,Yes
CUST-00088,Female,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Electronic check,61.1,2516.7,No
CUST-00089,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,77.32,232.38,No
CUST-00090,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),54.22,2025.78,No
CUST-00091,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),60.59,1344.29,No
CUST-00092,Female,1,No,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,60.04,834.4,No
CUST-00093,Female,1,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,77.38,819.43,Yes
CUST-00094,Female,0,No,Yes,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,1263.83,No
CUST-00095,Female,0,No,No,53,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),67.24,3519.27,No
CUST-00096,Female,0,No,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,61.44,2245.85,Yes
CUST-00097,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59.71,1616.17,No
CUST-00098,Female,1,No,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,342.52,Yes
CUST-00099,Male,0,No,No,68,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),35.78,2431.32,Yes
CUST-00100,Male,0,Yes,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),18.0,1087.39,No
CUST-00101,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),71.63,240.19,Yes
CUST-00102,Female,0,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,27.43,233.95,No
CUST-00103,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.44,213.81,Yes
CUST-00104,Female,0,Yes,Yes,68,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,47.14,3197.71,No
CUST-00105,Female,0,Yes,No,6,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),65.29,375.65,No
CUST-00106,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),85.49,3660.87,No
CUST-00107,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,63.44,1395.73,No
CUST-00108,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.33,39.14,No
CUST-00109,Male,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,24.6,886.57,Yes
CUST-00110,Female,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.66,1657.37,No
CUST-00111,Male,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,64.16,1236.1,Yes
CUST-00112,Female,0,No,Yes,43,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),52.8,2274.82,No
CUST-00113,Female,0,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),32.17,2233.55,No
CUST-00114,Male,0,No,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,63.33,3191.02,No
CUST-00115,Female,1,No,No,30,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),62.48,1863.62,No
CUST-00116,Male,1,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,40.68,1649.49,Yes
CUST-00117,Female,0,Yes,No,57,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),50.51,2861.94,No
CUST-00118,Female,1,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,85.46,343.17,No
CUST-00119,Male,0,No,No,32,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,62.11,1939.77,No
CUST-00120,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.52,2719.55,No
CUST-00121,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),30.16,537.76,Yes
CUST-00122,Female,0,Yes,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,568.67,No
CUST-00123,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,58.61,No
CUST-00124,Male,0,Yes,Yes,0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,52.66,22.5,Yes
CUST-00125,Female,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),48.46,1958.13,No
CUST-00126,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,78.95,3733.9,Yes
CUST-00127,Male,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,71.46,2720.22,No
CUST-00128,Female,1,Yes,No,4,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,55.42,240.58,Yes
CUST-00129,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,65.16,660.1,No
CUST-00130,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.02,647.82,No
CUST-00131,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,52.98,3344.79,No
CUST-00132,Male,0,Yes,No,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,54.52,611.47,No
CUST-00133,Male,0,No,No,52,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,67.14,3456.94,Yes
CUST-00134,Male,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.35,1362.57,No
CUST-00135,Male,0,Yes,Yes,52,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),60.04,3129.29,Yes
CUST-00136,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,57.39,1165.3,No
CUST-00137,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.04,1185.85,No
CUST-00138,Male,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.4,1841.11,No
CUST-00139,Male,0,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,71.46,5089.74,Yes
CUST-00140,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,64.89,4186.92,No
CUST-00141,Male,0,No,Yes,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.17,1236.96,No
CUST-00142,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.8,3098.99,Yes
CUST-00143,Female,1,No,No,58,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),57.01,3293.2,No
CUST-00144,Female,1,Yes,No,22,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),47.08,1040.28,No
CUST-00145,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,64.23,127.8,No
CUST-00146,Male,0,Yes,No,55,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),47.34,2591.87,No
CUST-00147,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.4,1147.18,Yes
CUST-00148,Male,0,Yes,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.76,4558.66,No
CUST-00149,Female,0,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),27.97,451.6,No
CUST-00150,Male,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,49.73,2983.33,No
CUST-00151,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,62.11,2255.79,No
CUST-00152,Male,1,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),80.66,4283.48,No
CUST-00153,Male,0,No,No,64,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),23.92,1560.38,Yes
CUST-00154,Male,1,Yes,No,13,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,44.84,582.84,No
CUST-00155,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.11,113.55,Yes
CUST-00156,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,54.73,3349.36,No
CUST-00157,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,62.41,0.0,Yes
CUST-00158,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.37,2156.16,No
CUST-00159,Female,0,Yes,No,66,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),44.06,2926.18,No
CUST-00160,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),64.04,1222.13,No
CUST-00161,Male,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,762.87,Yes
CUST-00162,Female,0,No,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.07,1038.67,No
CUST-00163,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,72.21,4898.96,No
CUST-00164,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.04,1136.39,Yes
CUST-00165,Male,1,No,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,58.81,3588.14,No
CUST-00166,Female,0,Yes,Yes,47,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,52.69,2481.6,No
CUST-00167,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,70.52,363.45,Yes
CUST-00168,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,61.17,2506.97,No
CUST-00169,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,79.99,4574.07,No
CUST-00170,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,71.2,2985.58,No
CUST-00171,Male,0,No,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,160.1,No
CUST-00172,Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,88.36,3381.06,Yes
CUST-00173,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.0,238.17,No
CUST-00174,Female,0,No,No,38,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,70.97,2679.56,No
CUST-00175,Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.24,824.97,Yes
